"No.","Time","Source","Destination","Protocol","Length","Info"
"25646","3.821801","118.117.83.234","10.10.10.10","TCP","60","59201  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25647","3.821802","70.192.211.48","10.10.10.10","TCP","60","45566  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25648","3.821803","180.137.223.89","10.10.10.10","TCP","60","42728  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25649","3.821803","212.226.62.20","10.10.10.10","TCP","60","3241  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25650","3.821902","39.32.61.164","10.10.10.10","TCP","60","42110  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25651","3.821903","1.11.175.88","10.10.10.10","TCP","60","7395  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25652","3.821904","112.211.75.164","10.10.10.10","TCP","60","57486  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25653","3.821904","185.41.33.213","10.10.10.10","TCP","60","37551  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25654","3.821905","172.242.103.58","10.10.10.10","TCP","60","61227  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25655","3.821905","179.202.136.194","10.10.10.10","TCP","60","60676  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25656","3.821906","75.255.9.76","10.10.10.10","TCP","60","22498  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25657","3.821907","221.96.166.142","10.10.10.10","TCP","60","15830  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25658","3.822002","36.153.189.39","10.10.10.10","TCP","60","9377  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25659","3.822002","41.215.89.137","10.10.10.10","TCP","60","35028  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25660","3.822003","34.179.243.5","10.10.10.10","TCP","60","41404  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25661","3.822003","188.204.203.78","10.10.10.10","TCP","60","38985  >  25565 [SYN] Seq=0 Win=0 Len=0"
